,Tên xe,Giá,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Km đã đi,Tỉnh thành,Quận huyện,Hộp số,Nhiên liệu
0,Toyota Land Cruiser Prado  2015,1 tỉ 480 triệu,2015,SUV,Xecũ,Nhậpkhẩu,85.000km,HàNội,HoàngMai,Sốtựđộng,Xăng
1,Ford Ranger XLS 2.2 4x2 AT 2016,499 triệu,2016,BánTải,Xecũ,Nhậpkhẩu,,HàNội,HoàngMai,Sốtựđộng,Diesel
2,Mercedes-Benz E200 2.0 I4 2014,725 triệu,2014,Sedan,Xecũ,Trongnước,79.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
3,Hyundai Tucson 1.6 Turbo HTRAC 2018,699 triệu,2018,SUV,Xecũ,Trongnước,60.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
4,Mazda 6 2.0l 2019,645 triệu,2019,Sedan,Xecũ,Trongnước,32.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
5,Toyota Yaris G 1.5 CVT 2015,460 triệu,2015,Hatchback,Xecũ,Nhậpkhẩu,68.000km,HàNội,NamTừLiêm,Sốtựđộng,Xăng
6,Toyota Vios 1.5 E CVT 2018,435 triệu,2018,Sedan,Xecũ,Trongnước,62.000km,HàNội,ThanhXuân,Sốtựđộng,Xăng
7,Kia Rio 1.4 AT Hatchback 2015,385 triệu,2015,Hatchback,Xecũ,Nhậpkhẩu,71.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
8,Volkswagen Tiguan  2018,1 tỉ 290 triệu,2018,SUV,Xecũ,Nhậpkhẩu,40.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
9,Toyota Vios 1.5 E CVT 2022,530 triệu,2022,Sedan,Xecũ,Trongnước,20.000km,HàNội,NamTừLiêm,Sốtựđộng,Xăng
10,Kia Cerato 2.0 AT Premium 2020,588 triệu,2020,Sedan,Xecũ,Trongnước,18.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
11,Hyundai Accent 1.4 AT đặc biệt 2022,530 triệu,2022,Sedan,Xecũ,Trongnước,12.000km,HàNội,CầuGiấy,Sốtựđộng,Xăng
12,Lexus LS 500 H 2021,6 tỉ 599 triệu,2021,Sedan,Xecũ,Nhậpkhẩu,24.595km,HàNội,BắcTừLiêm,Sốtựđộng,Hybrid
13,Mazda 3 1.5at 2018,530 triệu,2018,Sedan,Xecũ,Nhậpkhẩu,66.000km,HàNội,NamTừLiêm,Sốtựđộng,Xăng
14,Toyota Vios 1.5 G CVT 2020,525 triệu,2020,Sedan,Xecũ,Trongnước,30.000km,HàNội,NamTừLiêm,Sốtựđộng,Xăng
